Оценка,Положительный отзыв,Отрицательный отзыв
9,"Club room, bathrobes,complimentary fruit plate, wine,and big bed.",Noisy air conditioning.
9,"Great location, and as we went as a family for a birthday trip, they upgraded my parents room, petals on the bed, drinks and chocolate. A very sweet touch. 
Staff were lovely too","Nothing to do with the property but a room
Nearby was smoking weed, which filled the whole corridor up and we could smell in our rooms."
8,Ótimo lugar,Отрицательный отзыв отсутствует.
9,"The staff had decorated our room and left us complimentary wine and chocolates, as I’d advised them it was our special anniversary. The breakfast was lovely., and the staff very helpful. Sam was superb at always being available and helpful. We were able to store our luggage on the day of departure until we were ready to leave.",Nothing. Couldn’t fault it.
8,"Good location, good value, although it was a Tuesday in January!",Only one elevator that I could see.
8,"Good location.
Friendly staff.
Breakfast extra cost but good.",Отрицательный отзыв отсутствует.
8,Breakfast was good room hadn't been cleaned properly reception offered a change of room but we were on our way out,Bar closed at 9.30
7,The room was spotless. Very close to underground station.,"Because breakfast wasn’t included, I was told that breakfast was £12 per person but it cost three of us £56 ."
8,"Location is excellent - a very short walk from Earls Court station and lots of shops/cafes nearby, lovely area of London. Helpful staff.",The room was small but had everything you needed and tastefully decorated.
7,Room was clean and comfortable. Had a room on the lower floor which was quite spacious.,Could hear a lot of noise from the corridors as people moved outside.
9,"We like the location of the hotel and the easy access to the centre of London. We found the rooms comfortable. The staff are welcoming . We will recommend the hotel to friends. 
Breakfast is varied and copious.",Stayed twice and can think of negative things.
9,So close to Tube Station,Beds were only double and not king size
7,"Lovely soft beds and room
Was well appointed. Good breakfast.",Only issue was we needed to cancel two days before due to rail engineer works and tube strikes so we had to cancel Sunday plans and they declined to accommodate I would have been happy to take a credit and rebook. So felt that was a little unreasonable as we would have stayed on a new date. So kinda had to stay on a night when our plans were messed up and didn’t need to stay
9,"The hotel was lovely and the staff were very friendly and helpful. Very pristine decor. Hotel supplied exalent bathroom toiletries.

The location is great for Earls Court tube station. Had evening meal in resteraunt which was delicious curry. Plus, bar drinks were better value than some of the local pubs.","Solo traveller, but paid full price for double room."
9,Положительный отзыв отсутствует.,Nothing
